iter	Passed	Remaining
0	142	142306
1	143	71731
2	144	48171
3	146	36393
4	147	29289
5	148	24541
6	149	21153
7	150	18614
8	151	16642
9	152	15053
10	153	13758
11	154	12691
12	155	11776
13	156	10989
14	156	10301
15	157	9705
16	158	9192
17	160	8739
18	161	8319
19	162	7943
20	163	7607
21	164	7296
22	165	7009
23	165	6748
24	166	6497
25	167	6261
26	167	6043
27	168	5840
28	168	5650
29	169	5473
30	169	5311
31	170	5158
32	171	5014
33	171	4878
34	172	4749
35	172	4629
36	173	4519
37	174	4416
38	175	4316
39	175	4220
40	176	4130
41	177	4042
42	177	3957
43	178	3875
44	178	3796
45	179	3721
46	180	3649
47	180	3583
48	181	3518
49	181	3456
50	182	3396
51	183	3337
52	183	3281
53	184	3226
54	184	3173
55	185	3123
56	185	3074
57	186	3026
58	186	2981
59	187	2938
60	188	2898
61	188	2857
62	189	2819
63	190	2782
64	190	2745
65	191	2708
66	191	2673
67	192	2639
68	193	2606
69	193	2573
70	194	2543
71	194	2513
72	195	2484
73	196	2455
74	196	2426
75	197	2399
76	197	2371
77	198	2345
78	199	2320
79	199	2295
80	200	2271
81	200	2247
82	201	2220
83	201	2198
84	202	2177
85	202	2156
86	203	2137
87	204	2119
88	205	2100
89	205	2081
90	206	2062
91	207	2043
92	207	2026
93	208	2008
94	208	1989
95	209	1972
96	210	1956
97	210	1940
98	211	1924
99	212	1908
100	212	1892
101	213	1878
102	214	1863
103	214	1849
104	215	1835
105	215	1821
106	216	1808
107	217	1794
108	218	1782
109	218	1768
110	219	1755
111	219	1743
112	220	1730
113	221	1718
114	221	1706
115	222	1694
116	222	1681
117	223	1669
118	224	1658
119	224	1647
120	225	1635
121	225	1623
122	226	1613
123	226	1602
124	227	1592
125	228	1582
126	228	1571
127	229	1561
128	229	1551
129	230	1541
130	230	1532
131	231	1525
132	232	1516
133	233	1508
134	234	1499
135	234	1492
136	235	1485
137	237	1481
138	238	1478
139	239	1472
140	241	1469
141	243	1468
142	243	1460
143	244	1452
144	245	1445
145	245	1437
146	246	1431
147	247	1424
148	248	1419
149	249	1411
150	249	1404
151	251	1400
152	251	1394
153	252	1387
154	253	1381
155	254	1374
156	254	1368
157	255	1361
158	256	1354
159	256	1348
160	257	1340
161	257	1333
162	258	1326
163	259	1320
164	259	1314
165	260	1307
166	261	1302
167	262	1301
168	263	1296
169	264	1290
170	264	1284
171	265	1278
172	266	1272
173	266	1267
174	267	1261
175	268	1255
176	268	1249
177	269	1244
178	270	1239
179	271	1234
180	271	1229
181	272	1223
182	272	1217
183	273	1211
184	273	1206
185	274	1202
186	275	1197
187	276	1193
188	277	1188
189	277	1184
190	278	1179
191	279	1174
192	279	1169
193	280	1164
194	280	1159
195	281	1154
196	282	1150
197	282	1145
198	283	1140
199	283	1135
200	284	1130
201	285	1126
202	285	1122
203	286	1117
204	286	1112
205	287	1108
206	288	1103
207	288	1099
208	289	1094
209	289	1089
210	290	1086
211	291	1083
212	292	1079
213	292	1075
214	293	1071
215	294	1067
216	294	1063
217	295	1058
218	295	1054
219	296	1050
220	296	1046
221	297	1042
222	298	1038
223	298	1034
224	299	1030
225	299	1027
226	300	1023
227	301	1019
228	301	1015
229	302	1012
230	303	1009
231	303	1005
232	304	1002
233	305	999
234	306	996
235	306	993
236	307	990
237	308	987
238	308	983
239	309	980
240	310	977
241	310	973
242	311	970
243	312	966
244	312	963
245	313	959
246	313	956
247	314	953
248	315	950
249	315	946
250	316	943
251	316	940
252	317	937
253	318	934
254	318	931
255	319	928
256	320	926
257	321	923
258	321	920
259	322	917
